libelle;libelle_complet;mot_directeur;voie_tenante;voie_aboutissante;commune;code_insee;sti;rivoli
RUE DES ERABLES;Rue Des Érables;ERABLES;;;LESPINASSE;31293;312930000003;3102930062T
IMP INGRES;Impasse Ingres;INGRES;;;ST-ALBAN;31467;314670000072;3104670196G
RUE GEORGE SAND;Rue George Sand;SAND;;;TOULOUSE;31555;315556470448;3105553840K
RUE BUISSONNIERE;Rue Buissonnière;BUISSONNIERE;;;FONBEAUZARD;31186;311860000011;3101860024S
RUE FRANCOIS CEVERT;Rue François Cevert;CEVERT;;;ST-JEAN;31488;314880000080;3104880240N
CHE DE CLUZEL;Chemin de Cluzel;CLUZEL;;;TOULOUSE;31555;315551833642;3105552156E
RPT BAPTISTE MARCET;Rond-Point Baptiste Marcet;MARCET;;;BALMA;31044;310440000164;3100440121P
RUE MAGE;Rue Mage;MAGE;;;TOULOUSE;31555;315554259216;3105555500P
IMP DE LA CHARBONNIERE;Impasse de la Charbonnière;CHARBONNIERE;;;TOULOUSE;31555;315558349960;3105551895W
RUE RACINE;Rue Racine;RACINE;;;CORNEBARRIEU;31150;311500000112;310150
PL DES MESANGES;Place des Mésanges;MESANGES;;;AUCAMVILLE;31022;310220000105;3100220232F
RUE D ARROMANCHES;Rue d'Arromanches;ARROMANCHES;;;TOULOUSE;31555;315558395116;3105552505J
VA VA000029;Voie Anonyme Numéro 000029;;;;AUCAMVILLE;31022;31022A000029;
PL FRANCOIS ANDREOSSY;Place François Andreossy;ANDREOSSY;;;TOULOUSE;31555;315550160014;3105550332X
CHE DE LA MENUDE;Chemin de la Menude;MENUDE;;;COLOMIERS;31149;311490000284;3101490796S
RUE PAUL CODOS;Rue Paul Codos;CODOS;;;TOULOUSE;31555;315558357510;3105556602M
RUE MIE D AGHONNE;Rue Mie d' Aghonne;AGHONNE;;;TOULOUSE;31555;315559000005;3105555938R
IMP DE NORMANDIE;Impasse de Normandie;NORMANDIE;;;BLAGNAC;31069;310690000287;3100690782Z
IMP RAMEAU;Impasse Rameau;RAMEAU;;;ST-ALBAN;31467;314670000112;3104670392V
IMP BERNANOS;Impasse Bernanos;BERNANOS;;;BLAGNAC;31069;310690000048;3100690428P
ALL DE L ESQUILLETTE;Allée de l'Esquillette;ESQUILLETTE;;;COLOMIERS;31149;311490000169;3101490506B
CLOS DU BOSQUET;Clos du Bosquet;BOSQUET;;;TOURNEFEUILLE;31557;315570000066;3105570950K
IMP DU VIEUX MOULIN;Impasse du Vieux Moulin;MOULIN;;;AUSSONNE;31032;310320000075;3100320221A
ALL DU LT LUCIEN LAFAY;Allée du Lieutenant Lucien Lafay;LAFAY;;;TOULOUSE;31555;315558426325;3105555249S
RUE DU MONT VALLIER;Rue du Mont Vallier;VALLIER;;;ST-ORENS-DE-GAMEVILLE;31506;315060000205;3105060860J
VA VA000123;Voie Anonyme Numéro 000123;;;;TOURNEFEUILLE;31557;31557A000123;
PL ARNAUD BERNARD;Place Arnaud Bernard;BERNARD;;;TOULOUSE;31555;315550281616;3105550520B
ALL DE LA LORRAINE;Allée de la Lorraine;LORRAINE;;;COLOMIERS;31149;311490000255;3101490763F
IMP DU TARBEZOU;Impasse du Tarbezou;TARBEZOU;;;TOULOUSE;31555;315558387403;3105558393J
VA VA000121;Voie Anonyme Numéro 000121;;;;TOURNEFEUILLE;31557;31557A000121;
RUE DES MARINIERS;Rue des Mariniers;MARINIERS;;;FENOUILLET;31182;311820000061;3101820261S
CHE DE CATALA;Chemin de Catala;CATALA;;;TOULOUSE;31555;315551516848;3105551776S
RUE MARCEL DORET;Rue Marcel Doret;DORET;;;AUSSONNE;31032;310320000031;3100320121S
RUE JULES VEDRINES;Rue Jules Védrines;VEDRINES;;;TOULOUSE;31555;315557139224;3105554830L
BRE DE PARIS;Barrière de Paris;PARIS;;;TOULOUSE;31555;315555190458;310555B279W
ALL DE LA CHALOSSE;Allée de la Chalosse;CHALOSSE;;;COLOMIERS;31149;311490000110;3101490333N
IMP DE LA LICORNE;Impasse de la Licorne;LICORNE;;;TOURNEFEUILLE;31557;315570000258;3105572405S
RUE DU 8 MAI 1945;Rue Du 8 Mai 1945;MAI;;;BRUGUIERES;31091;310910000079;3100910095G
RUE DE L AYGA;Rue de l'Ayga;AYGA;;;TOULOUSE;31555;315550444803;3105550748Z
RUE GUYNEMER;Rue Guynemer;GUYNEMER;;;FONBEAUZARD;31186;311860000027;3101860068P
RUE LOUIS JOSEPH GAY LUSSAC;Rue Louis-Joseph Gay Lussac;LUSSAC;;;TOULOUSE;31555;315553129609;3105553792H
IMP D EN BATUT;Impasse d' En Batut;BATUT;;;FLOURENS;31184;311840000002;3101840113X
RUE DE LA SEOUNE;Rue de la Séoune;SEOUNE;;;UNION;31561;315610000265;3105610725Y
RUE LOUISON BOBET;Rue Louison Bobet;BOBET;;;TOULOUSE;31555;315558423050;3105555415X
AV LOUIS ARISTE PASSERIEU;Avenue Louis-Ariste Passerieu;PASSERIEU;;;TOULOUSE;31555;315558360846;3105555347Y
PL ARMAND FALLIERES;Place Armand Fallières;FALLIERES;;;TOULOUSE;31555;315558378639;3105550494Y
RUE DE LA BASTIDE;Rue de la Bastide;BASTIDE;;;TOULOUSE;31555;315550614448;3105550904U
BD DES PYRENEES;Boulevard des Pyrénées;PYRENEES;;;TOURNEFEUILLE;31557;315570000375;3105573170Y
RUE ANDRE BETEILLE;Rue André Beteille;BETEILLE;;;CORNEBARRIEU;31150;311500000018;310150
IMP HENRI EBELOT;Impasse Henri Ebelot;EBELOT;;;TOULOUSE;31555;315558391137;3105554145S
RUE D ANTIBES;Rue d'Antibes;ANTIBES;;;UNION;31561;315610000013;3105610028R
CHE DE TERREFORT;Chemin de Terrefort;TERREFORT;;;CORNEBARRIEU;31150;311500000132;3101500191E
IMP DES LEYS D AMORS;Impasse des Leys d'Amors;AMORS;;;TOULOUSE;31555;315558380047;3105555226S
RUE HYACINTHE SERMET;Rue Hyacinthe Sermet;SERMET;;;TOULOUSE;31555;315558405257;3105554274G
AV DU GENERAL DE GAULLE;Avenue du Général de Gaulle;GAULLE;;;TOURNEFEUILLE;31557;315570000195;3105571840C
PL DES CORMORANS;Place des Cormorans;CORMORANS;;;TOULOUSE;31555;315558416347;3105552306T
ALL DU GOLF;Allée du Golf;GOLF;;;SEILH;31541;315410000035;310541A006Y
RUE MARIE MAGNE;Rue Marie Magne;MAGNE;;;TOULOUSE;31555;315554272020;3105555684P
RUE DES MARGUERITES;Rue des Marguerites;MARGUERITES;;;ST-ALBAN;31467;314670000084;3104670315L
AV FRIZAC;Avenue Frizac;FRIZAC;;;TOULOUSE;31555;315552992030;3105553608H
RUE MARIE;Rue Marie;MARIE;;;TOULOUSE;31555;315554406426;3105555680K
VA VA007337;Voie Anonyme Numéro 007337;;;;TOULOUSE;31555;31555A007337;310555
IMP DU COL DU SOULOR;Impasse du Col du Soulor;SOULOR;;;UNION;31561;315610000269;3105610185L
RUE ETIENNE FALCONET;Rue Etienne Falconet;FALCONET;;;BALMA;31044;310440000284;3100440325L
ALL DE SAUVETERRE;Allée De Sauveterre;SAUVETERRE;;;DREMIL-LAFAGE;31163;311630000061;3101630309B
AV BALANSA;Avenue Balansa;BALANSA;;;TOULOUSE;31555;315550496019;3105550792X
RUE PIERRE DE COUBERTIN;Rue Pierre de Coubertin;COUBERTIN;;;ST-ALBAN;31467;314670000047;3104670365R
RTE D63E;Route Départementale 63e;D63E;;;CORNEBARRIEU;31150;311500000003;310150
AV DU CHAMP DE LALIE;Avenue du Champ de Lalie;LALIE;;;FLOURENS;31184;311840000069;3101840172L
RUE JEAN BAPTISTE LULLI;Rue Jean-Baptiste Lulli;LULLI;;;TOURNEFEUILLE;31557;315570000267;3105572160A
IMP LE BONDIDIER;Impasse le Bondidier;BONDIDIER;;;TOULOUSE;31555;315558345512;3105551239H
CHEM ENRICO CARUSO;Cheminement Enrico Caruso;CARUSO;;;TOULOUSE;31555;315558395932;3105553017R
RUE DU PLASSA;Rue du Plassa;PLASSA;;;CUGNAUX;31157;311570000188;3101570583A
IMP JEAN COCTEAU;Impasse Jean Cocteau;COCTEAU;;;VILLENEUVE-TOLOSANE;31588;315880000049;3105880506T
RUE DES BUISSONNETS;Rue des Buissonnets;BUISSONNETS;;;TOULOUSE;31555;315551248036;3105551460Y
RUE DE LA SEILLONNE;Rue De La Seillonne;SEILLONNE;;;MONTRABE;31389;313890000017;3103890024J
RUE DES EPARGES;Rue des Eparges;EPARGES;;;TOULOUSE;31555;315552595229;3105553024Y
IMP PREVERT;Impasse Prévert;PREVERT;;;QUINT;31445;314450000093;3104450421X
IMP DES PYRENEES;Impasse Des Pyrénées;PYRENEES;;;DREMIL-LAFAGE;31163;311630000028;3101630278T
CHE DE LA PRAIRIE;Chemin De La Prairie;PRAIRIE;;;BEAUPUY;31053;310530000027;3100530309E
RUE DU FOYER TOULOUSAIN;Rue du Foyer Toulousain;TOULOUSAIN;;;TOULOUSE;31555;315552944038;3105553444E
RUE ALFRED DE MUSSET;Rue Alfred de Musset;MUSSET;;;TOURNEFEUILLE;31557;315570000311;3105570550A
RUE DE JERUSALEM;Rue de Jérusalem;JERUSALEM;;;TOULOUSE;31555;315558400819;3105554697S
IMP DES ORCHIDEES;Impasse des Orchidées;ORCHIDEES;;;CUGNAUX;31157;311570000177;3101570516C
RUE DE CAEN;Rue de Caen;CAEN;;;TOULOUSE;31555;315551270420;3105551484Z
RUE MAURICE JACQUIER;Rue Maurice Jacquier;JACQUIER;;;TOULOUSE;31555;315553584033;3105555806X
PL D OCCITANIE;Place d'Occitanie;OCCITANIE;;;COLOMIERS;31149;311490000599;3101490909P
RUE JEAN BENTABERRY;Rue Jean Bentaberry;BENTABERRY;;;TOULOUSE;31555;315559000245;P31555
RUE DES TOURELLES;Rue des Tourelles;TOURELLES;;;CUGNAUX;31157;311570000226;3101570697Z
RUE PASTEILLE;Rue Pasteille;PASTEILLE;;;FLOURENS;31184;311840000056;3101840240K
AV DES ETATS UNIS;Av des Etats-Unis;UNIS;;;AUCAMVILLE;31022;310220000162;3100220125P
RUE VALADE;Rue Valade;VALADE;;;TOULOUSE;31555;315557046413;3105558676S
RTE D94 A;D94a;D94A;;;DREMIL-LAFAGE;31163;311630000003;310163
PAS DE L ISATIS;Passage de l'Isatis;ISATIS;;;DREMIL-LAFAGE;31163;311630000094;3101630149C
AV DE FRONTON;Avenue de Fronton;FRONTON;;;ST-ALBAN;31467;314670000064;3104670160T
AV DU BERGERON;Avenue Du Bergeron;BERGERON;;;BRUGUIERES;31091;310910000048;3100910036T
VA VA000013;Voie Anonyme Numéro 000013;;;;GAGNAC-SUR-GARONNE;31205;31205A000013;
RTE DE CASTRES;Route de Castres;CASTRES;;;DREMIL-LAFAGE;31163;311630000082;3101630053Y
IMP DES FOUGERES;Impasse Des Fougères;FOUGERES;;;BRUGUIERES;31091;310910000004;3100910262N
IMP DES MYOSOTIS;Impasse des Myosotis;MYOSOTIS;;;TOURNEFEUILLE;31557;315570000312;3105572747N
RUE DES CHARDONNERETS;Rue des Chardonnerets;CHARDONNERETS;;;PIBRAC;31417;314170000055;3104170055W
RUE PIERRE ROGOS;Rue Pierre Rogos;ROGOS;;;CASTELGINEST;31116;311160000164;3101160836D
RUE ANDRE BAUGE;Rue André Bauge;BAUGE;;;TOULOUSE;31555;315550636832;3105550290B
AV DU FAUR DE PIBRAC;Avenue du Faur de Pibrac;PIBRAC;;;PIBRAC;31417;314170000140;3104170088G
RUE WATTEAU;Rue Watteau;WATTEAU;;;ST-JEAN;31488;314880000060;3104880760D
CHE TEYNIER;Chemin Teynier;TEYNIER;;;TOULOUSE;31555;315556828837;3105558448U
IMP DU PIC VERT;Impasse du Pic-Vert;PIC-VERT;;;UNION;31561;315610000216;3105610617F
RUE DE LA REPUBLIQUE;Rue de la République;REPUBLIQUE;;;MONDONVILLE;31351;313510000069;3103510036M
CHE DE BAROUNA;Chemin de Barouna;BAROUNA;;;AUSSONNE;31032;310320000008;3100320020G
IMP MARCEL PAGNOL;Impasse Marcel Pagnol;PAGNOL;;;FONBEAUZARD;31186;311860000042;3101860078A
RUE VICTOR HUGO;Rue Victor Hugo;HUGO;;;BRUGUIERES;31091;310910000114;3100910247X
IMP DU PONT;Impasse du Pont;PONT;;;LAUNAGUET;31282;312820000093;3102820220M
RUE DES USINES;Rue des Usines;USINES;;;FENOUILLET;31182;311820000109;3101820440L
RUE ADONIS;Rue Adonis;ADONIS;;;TOULOUSE;31555;315550038422;3105550056X
RUE DES HIRONDELLES;Rue des Hirondelles;HIRONDELLES;;;AUSSONNE;31032;310320000054;3100320179E
VA VA000043;Voie Anonyme Numéro 000043;;;;BLAGNAC;31069;31069A000043;
VA VA000021;Voie Anonyme Numéro 000021;;;;LESPINASSE;31293;31293A000021;
RUE DU LAMPY;Rue Du Lampy;LAMPY;;;MONTRABE;31389;313890000050;3103890215S
IMP DE LA SARRIETTE;Impasse de la Sarriette;SARRIETTE;;;TOURNEFEUILLE;31557;315570000414;3105573310A
CHE DE LA PALANQUE;Chemin de la Palanque;PALANQUE;;;UNION;31561;315610000195;310561
PL COMMERCIALE DE JOLIMONT;Place Commerciale de Jolimont;JOLIMONT;;;TOULOUSE;31555;315551897611;3105552244A
BD DES COURTIES;Boulevard des Courties;COURTIES;;;TOULOUSE;31555;315558445944;3105552363E
RUE SEVESO;Rue Sévéso;SEVESO;;;FENOUILLET;31182;311820000101;3101820408B
BD EUGENE MONTEL;Boulevard Eugène Montel;MONTEL;;;TOURNEFEUILLE;31557;315570000305;3105571650W
RUE VICTOR CAPOUL;Rue Victor Capoul;CAPOUL;;;TOULOUSE;31555;315551424027;3105558824C
RUE DE LA TANNERIE;Rue de la Tannerie;TANNERIE;;;TOULOUSE;31555;315556774438;3105558388D
IMP DU PRE FLEURI;Impasse du Pré Fleuri;FLEURI;;;SEILH;31541;315410000032;3105410107N
