libelle;libelle_complet;commune;code_insee;sti;rivoli;
PL DES MESANGES;Place des Mésanges;AUCAMVILLE;31022;310220000105;3100220232F;
RUE D ARROMANCHES;Rue d'Arromanches;TOULOUSE;31555;315558395116;3105552505J;
VA VA000029;Voie Anonyme Numéro 000029;AUCAMVILLE;31022;31022A000029;;
PL FRANCOIS ANDREOSSY;Place François Andreossy;TOULOUSE;31555;315550160014;3105550332X;
CHE DE LA MENUDE;Chemin de la Menude;COLOMIERS;31149;311490000284;3101490796S;
RUE PAUL CODOS;Rue Paul Codos;TOULOUSE;31555;315558357510;3105556602M;
RUE MIE D AGHONNE;Rue Mie d' Aghonne;TOULOUSE;31555;315559000005;3105555938R;
IMP DE NORMANDIE;Impasse de Normandie;BLAGNAC;31069;310690000287;3100690782Z;
IMP RAMEAU;Impasse Rameau;ST-ALBAN;31467;314670000112;3104670392V;
IMP BERNANOS;Impasse Bernanos;BLAGNAC;31069;310690000048;3100690428P;
ALL DE L ESQUILLETTE;Allée de l'Esquillette;COLOMIERS;31149;311490000169;3101490506B;
CLOS DU BOSQUET;Clos du Bosquet;TOURNEFEUILLE;31557;315570000066;3105570950K;
IMP DU VIEUX MOULIN;Impasse du Vieux Moulin;AUSSONNE;31032;310320000075;3100320221A;
ALL DU LT LUCIEN LAFAY;Allée du Lieutenant Lucien Lafay;TOULOUSE;31555;315558426325;3105555249S;
RUE DU MONT VALLIER;Rue du Mont Vallier;ST-ORENS-DE-GAMEVILLE;31506;315060000205;3105060860J;
VA VA000123;Voie Anonyme Numéro 000123;TOURNEFEUILLE;31557;31557A000123;;
PL ARNAUD BERNARD;Place Arnaud Bernard;TOULOUSE;31555;315550281616;3105550520B;
ALL DE LA LORRAINE;Allée de la Lorraine;COLOMIERS;31149;311490000255;3101490763F;
IMP DU TARBEZOU;Impasse du Tarbezou;TOULOUSE;31555;315558387403;3105558393J;
VA VA000121;Voie Anonyme Numéro 000121;TOURNEFEUILLE;31557;31557A000121;;
RUE DES MARINIERS;Rue des Mariniers;FENOUILLET;31182;311820000061;3101820261S;
CHE DE CATALA;Chemin de Catala;TOULOUSE;31555;315551516848;3105551776S;
RUE MARCEL DORET;Rue Marcel Doret;AUSSONNE;31032;310320000031;3100320121S;
RUE JULES VEDRINES;Rue Jules Védrines;TOULOUSE;31555;315557139224;3105554830L;
BRE DE PARIS;Barrière de Paris;TOULOUSE;31555;315555190458;310555B279W;
ALL DE LA CHALOSSE;Allée de la Chalosse;COLOMIERS;31149;311490000110;3101490333N;
IMP DE LA LICORNE;Impasse de la Licorne;TOURNEFEUILLE;31557;315570000258;3105572405S;
RUE DU 8 MAI 1945;Rue Du 8 Mai 1945;BRUGUIERES;31091;310910000079;3100910095G;
RUE DE L AYGA;Rue de l'Ayga;TOULOUSE;31555;315550444803;3105550748Z;
RUE GUYNEMER;Rue Guynemer;FONBEAUZARD;31186;311860000027;3101860068P;
RUE LOUIS JOSEPH GAY LUSSAC;Rue Louis-Joseph Gay Lussac;TOULOUSE;31555;315553129609;3105553792H;
IMP D EN BATUT;Impasse d' En Batut;FLOURENS;31184;311840000002;3101840113X;
RUE DE LA SEOUNE;Rue de la Séoune;UNION;31561;315610000265;3105610725Y;
RUE LOUISON BOBET;Rue Louison Bobet;TOULOUSE;31555;315558423050;3105555415X;
AV LOUIS ARISTE PASSERIEU;Avenue Louis-Ariste Passerieu;TOULOUSE;31555;315558360846;3105555347Y;
PL ARMAND FALLIERES;Place Armand Fallières;TOULOUSE;31555;315558378639;3105550494Y;
RUE DE LA BASTIDE;Rue de la Bastide;TOULOUSE;31555;315550614448;3105550904U;
BD DES PYRENEES;Boulevard des Pyrénées;TOURNEFEUILLE;31557;315570000375;3105573170Y;
RUE ANDRE BETEILLE;Rue André Beteille;CORNEBARRIEU;31150;311500000018;310150;
IMP HENRI EBELOT;Impasse Henri Ebelot;TOULOUSE;31555;315558391137;3105554145S;
RUE D ANTIBES;Rue d'Antibes;UNION;31561;315610000013;3105610028R;
CHE DE TERREFORT;Chemin de Terrefort;CORNEBARRIEU;31150;311500000132;3101500191E;
IMP DES LEYS D AMORS;Impasse des Leys d'Amors;TOULOUSE;31555;315558380047;3105555226S;
RUE HYACINTHE SERMET;Rue Hyacinthe Sermet;TOULOUSE;31555;315558405257;3105554274G;
AV DU GENERAL DE GAULLE;Avenue du Général de Gaulle;TOURNEFEUILLE;31557;315570000195;3105571840C;
PL DES CORMORANS;Place des Cormorans;TOULOUSE;31555;315558416347;3105552306T;
ALL DU GOLF;Allée du Golf;SEILH;31541;315410000035;310541A006Y;
RUE MARIE MAGNE;Rue Marie Magne;TOULOUSE;31555;315554272020;3105555684P;
RUE DES MARGUERITES;Rue des Marguerites;ST-ALBAN;31467;314670000084;3104670315L;
AV FRIZAC;Avenue Frizac;TOULOUSE;31555;315552992030;3105553608H;
RUE MARIE;Rue Marie;TOULOUSE;31555;315554406426;3105555680K;
VA VA007337;Voie Anonyme Numéro 007337;TOULOUSE;31555;31555A007337;310555;
IMP DU COL DU SOULOR;Impasse du Col du Soulor;UNION;31561;315610000269;3105610185L;
RUE ETIENNE FALCONET;Rue Etienne Falconet;BALMA;31044;310440000284;3100440325L;
ALL DE SAUVETERRE;Allée De Sauveterre;DREMIL-LAFAGE;31163;311630000061;3101630309B;
AV BALANSA;Avenue Balansa;TOULOUSE;31555;315550496019;3105550792X;
RUE PIERRE DE COUBERTIN;Rue Pierre de Coubertin;ST-ALBAN;31467;314670000047;3104670365R;
RTE D63E;Route Départementale 63e;CORNEBARRIEU;31150;311500000003;310150;
AV DU CHAMP DE LALIE;Avenue du Champ de Lalie;FLOURENS;31184;311840000069;3101840172L;
RUE JEAN BAPTISTE LULLI;Rue Jean-Baptiste Lulli;TOURNEFEUILLE;31557;315570000267;3105572160A;
IMP LE BONDIDIER;Impasse le Bondidier;TOULOUSE;31555;315558345512;3105551239H;
CHEM ENRICO CARUSO;Cheminement Enrico Caruso;TOULOUSE;31555;315558395932;3105553017R;
RUE DU PLASSA;Rue du Plassa;CUGNAUX;31157;311570000188;3101570583A;
IMP JEAN COCTEAU;Impasse Jean Cocteau;VILLENEUVE-TOLOSANE;31588;315880000049;3105880506T;
RUE DES BUISSONNETS;Rue des Buissonnets;TOULOUSE;31555;315551248036;3105551460Y;
RUE DE LA SEILLONNE;Rue De La Seillonne;MONTRABE;31389;313890000017;3103890024J;
RUE DES EPARGES;Rue des Eparges;TOULOUSE;31555;315552595229;3105553024Y;
IMP PREVERT;Impasse Prévert;QUINT;31445;314450000093;3104450421X;
IMP DES PYRENEES;Impasse Des Pyrénées;DREMIL-LAFAGE;31163;311630000028;3101630278T;
CHE DE LA PRAIRIE;Chemin De La Prairie;BEAUPUY;31053;310530000027;3100530309E;
RUE DU FOYER TOULOUSAIN;Rue du Foyer Toulousain;TOULOUSE;31555;315552944038;3105553444E;
RUE ALFRED DE MUSSET;Rue Alfred de Musset;TOURNEFEUILLE;31557;315570000311;3105570550A;
RUE DE JERUSALEM;Rue de Jérusalem;TOULOUSE;31555;315558400819;3105554697S;
IMP DES ORCHIDEES;Impasse des Orchidées;CUGNAUX;31157;311570000177;3101570516C;
RUE DE CAEN;Rue de Caen;TOULOUSE;31555;315551270420;3105551484Z;
RUE MAURICE JACQUIER;Rue Maurice Jacquier;TOULOUSE;31555;315553584033;3105555806X;
PL D OCCITANIE;Place d'Occitanie;COLOMIERS;31149;311490000599;3101490909P;
RUE JEAN BENTABERRY;Rue Jean Bentaberry;TOULOUSE;31555;315559000245;P31555;
RUE DES TOURELLES;Rue des Tourelles;CUGNAUX;31157;311570000226;3101570697Z;
RUE PASTEILLE;Rue Pasteille;FLOURENS;31184;311840000056;3101840240K;
AV DES ETATS UNIS;Av des Etats-Unis;AUCAMVILLE;31022;310220000162;3100220125P;
RUE VALADE;Rue Valade;TOULOUSE;31555;315557046413;3105558676S;
RTE D94 A;D94a;DREMIL-LAFAGE;31163;311630000003;310163;
PAS DE L ISATIS;Passage de l'Isatis;DREMIL-LAFAGE;31163;311630000094;3101630149C;
AV DE FRONTON;Avenue de Fronton;ST-ALBAN;31467;314670000064;3104670160T;
AV DU BERGERON;Avenue Du Bergeron;BRUGUIERES;31091;310910000048;3100910036T;
VA VA000013;Voie Anonyme Numéro 000013;GAGNAC-SUR-GARONNE;31205;31205A000013;;
